"id","feature","fc","pval","qval","geneNames"
"MSTRG.8718","gene",0.649997230298504,6.12920330045341e-08,0.000324112270527976,"IGFBP5"
"MSTRG.10612","gene",0.79541535219321,2.95688475260292e-07,0.000696760137102181,"EIF4A2"
"MSTRG.14107","gene",0.85758358884139,4.61833126186306e-07,0.000696760137102181,"GOLGA7"
"MSTRG.14911","gene",1.18123568072622,5.28791561094089e-07,0.000696760137102181,"ENG"
"MSTRG.13317","gene",0.759007983447467,7.20125269415561e-07,0.000696760137102181,"GPNMB"
"MSTRG.2880","gene",1.27263643419867,7.90575042097785e-07,0.000696760137102181,"TAGLN"
"MSTRG.7820","gene",1.18827713497465,1.2194242776653e-06,0.000921187940042018,"TRIM28"
"MSTRG.3312","gene",1.37102784766985,1.99866034145124e-06,0.00115954228369866,"IGFBP6"
"MSTRG.5827","gene",1.47827020527929,2.13952354832792e-06,0.00115954228369866,"DPH1"
"MSTRG.5827","gene",1.47827020527929,2.13952354832792e-06,0.00115954228369866,"OVCA2"
"MSTRG.11357","gene",0.695228679004829,2.19278041546644e-06,0.00115954228369866,"C7"
"MSTRG.10480","gene",0.762056371404583,2.60272533114669e-06,0.00125120105010034,"MME"
"MSTRG.9223","gene",1.11652630197294,3.32423105409152e-06,0.00146487781783633,"PSMA7"
"MSTRG.15397","gene",0.822702572621175,4.01561005425322e-06,0.00162429815910586,"TCEAL9"
"MSTRG.2645","gene",1.1738001218403,4.30033551956921e-06,0.00162429815910586,"GSTP1"
"MSTRG.11662","gene",1.26629312218043,4.95366614716719e-06,0.00168446482598394,"PDLIM4"
"MSTRG.12371","gene",0.898412205715223,5.09671656878652e-06,0.00168446482598394,"EEF1A1"
"MSTRG.12371","gene",0.898412205715223,5.09671656878652e-06,0.00168446482598394,"SNORD141B"
"MSTRG.10889","gene",0.808551127006269,6.87485658867892e-06,0.00173492721878026,"CXCL8"
"MSTRG.6722","gene",0.945328698857845,7.04760218450673e-06,0.00173492721878026,"MYL12A"
"MSTRG.13895","gene",1.21752032267495,7.10148052252002e-06,0.00173492721878026,"ZNF282"
"MSTRG.15226","gene",1.26314179611152,7.31098812301045e-06,0.00173492721878026,"NDUFB11"
"MSTRG.9921","gene",0.87287567338116,7.4547350361609e-06,0.00173492721878026,"TGFBR2"
"MSTRG.3525","gene",0.835293419317919,7.82064839732755e-06,0.00173492721878026,"DCN"
"MSTRG.8136","gene",0.810933197586318,8.23861915888457e-06,0.00173492721878026,"PCYOX1"
"MSTRG.8067","gene",0.862249667875765,8.85030906871975e-06,0.00173492721878026,"EFEMP1"
"MSTRG.1616","gene",1.12902049600094,9.04884471586431e-06,0.00173492721878026,"VIM"
"MSTRG.6651","gene",1.12531105590455,9.07114691317545e-06,0.00173492721878026,"ACTG1"
"MSTRG.8515","gene",0.820279652858329,9.10036686085913e-06,0.00173492721878026,"CYBRD1"
"MSTRG.11358","gene",0.661985326126915,9.18645274694541e-06,0.00173492721878026,"C6"
"MSTRG.14004","gene",1.3947353950731,9.98397481277724e-06,0.0018205261658609,"REEP4"
"MSTRG.10448","gene",0.823856506518067,1.33658513929991e-05,0.00235595407220597,"PLOD2"
"MSTRG.6195","gene",0.841364391276903,1.47381184458784e-05,0.00245030577296573,"RPL23"
"MSTRG.8880","gene",1.16376534752224,1.4877949567893e-05,0.00245030577296573,"TRIB3"
"MSTRG.4264","gene",0.894101288876555,1.52912425317453e-05,0.00245030577296573,"FERMT2"
"MSTRG.9059","gene",0.543676550689163,1.64042714900781e-05,0.00250746367238581,"RBM39"
"MSTRG.64","gene",0.820873867699122,1.69045538849222e-05,0.00250746367238581,"RPL22"
"MSTRG.6660","gene",1.24822402961414,1.70704788589049e-05,0.00250746367238581,"CCDC137"
"MSTRG.7464","gene",1.27406340587,1.78540948811978e-05,0.0025516879386966,"SHKBP1"
"MSTRG.1152","gene",0.872570744815631,1.84624757035845e-05,0.00256919925054092,"DDR2"
"MSTRG.6382","gene",1.18198233459825,1.94190147130291e-05,0.00257418413991282,"ITGA3"
"MSTRG.13784","gene",0.882821004020606,1.94718921324721e-05,0.00257418413991282,"CALU"
"MSTRG.6018","gene",1.2590088011649,2.41979490758215e-05,0.0030151665288034,"SREBF1"
"MSTRG.7233","gene",1.33365155238456,2.43305996823207e-05,0.0030151665288034,"NOTCH3"
"MSTRG.5953","gene",0.866464968492461,2.45181847084996e-05,0.0030151665288034,"RPL26"
"MSTRG.7984","gene",0.78326323477892,2.52360988375333e-05,0.00303292024211082,"CYP1B1"
"MSTRG.3076","gene",0.801668743033729,2.60882524558692e-05,0.00304093867337521,"MFAP5"
"MSTRG.9617","gene",1.33150891050768,2.64529460997087e-05,0.00304093867337521,"MCM5"
"MSTRG.11960","gene",1.11246750233493,2.8992334628053e-05,0.00326194607474774,"SQSTM1"
"MSTRG.6442","gene",0.873612261420831,3.04663170260788e-05,0.00335637259237302,"VMP1"
"MSTRG.6442","gene",0.873612261420831,3.04663170260788e-05,0.00335637259237302,"MIR21"
"MSTRG.5444","gene",1.12526497951158,3.41406211988859e-05,0.00344175241290417,"LOC112694756"
"MSTRG.5444","gene",1.12526497951158,3.41406211988859e-05,0.00344175241290417,"ALDOA"
"MSTRG.11959","gene",1.18842984580876,3.42787532143785e-05,0.00344175241290417,"MGAT4B"
"MSTRG.667","gene",0.855861103507882,3.43707416383676e-05,0.00344175241290417,"SELENOF"
"MSTRG.1505","gene",0.888490631194581,3.44821980768906e-05,0.00344175241290417,"NID1"
"MSTRG.1116","gene",0.849999485489555,3.47149290373938e-05,0.00344175241290417,"IFI16"
"MSTRG.14181","gene",0.81964709837979,3.51464883314723e-05,0.00344175241290417,"TRAM1"
"MSTRG.6923","gene",1.23242520074486,3.67566322404533e-05,0.00352613205059149,"MIER2"
"MSTRG.15580","gene",1.22375611393151,3.73417917611807e-05,0.00352613205059149,"IRAK1"
"MSTRG.2647","gene",1.38622838283483,3.8118946209087e-05,0.00353636820269565,"CDK2AP2"
"MSTRG.7732","gene",1.25365641453086,4.01469036099833e-05,0.00366029010844124,"MBOAT7"
"MSTRG.6941","gene",1.22433908058202,4.15701731109053e-05,0.00372581483746554,"POLR2E"
"MSTRG.7240","gene",0.923248944046694,4.60583622367006e-05,0.00399380944289886,"TPM4"
"MSTRG.5662","gene",3.47292166409569,4.69727029897005e-05,0.00399380944289886,"MTSS2"
"MSTRG.15061","gene",1.18778087276926,4.7023105390398e-05,0.00399380944289886,"ABCA2"
"MSTRG.11958","gene",0.900895851005337,4.75813152236437e-05,0.00399380944289886,"CANX"
"MSTRG.14652","gene",0.795663186792639,4.83644454672971e-05,0.00399611230673542,"KLF9"
"MSTRG.9111","gene",1.26341305818932,5.00866649669751e-05,0.00407474283608253,"MYBL2"
"MSTRG.5581","gene",0.864103358941361,5.15981804316556e-05,0.00413410875943326,"DYNC1LI2"
"MSTRG.15012","gene",1.14486190920112,5.52006277327877e-05,0.00435673014105942,"WDR5"
"MSTRG.3753","gene",0.897396249315972,5.6635287692508e-05,0.00436313237503202,"TMED2"
"MSTRG.4783","gene",0.821818792705212,5.75616907042553e-05,0.00436313237503202,"COPS2"
"MSTRG.10130","gene",0.845884795968892,5.99653311978976e-05,0.00436313237503202,"SNORD69"
"MSTRG.10130","gene",0.845884795968892,5.99653311978976e-05,0.00436313237503202,"GNL3"
